#Iterations	Temperature	Chi2	Type	Histogram	Connect	Total
482	804.897	5478.12	0	4171.06	39515	49164.1
483	804.897	5489.79	0	4133.52	39286.8	48910.1
484	804.897	5492.96	0	4114.57	39060.4	48667.9
485	804.897	5482.19	0	4104.69	39060.4	48647.3
486	804.897	5459.54	0	4068.71	39060.4	48588.7
487	804.897	5445.11	0	4070.01	39060.4	48575.5
488	804.897	5441.15	0	4049.75	39060.4	48551.3
489	804.897	5400.74	0	4025.36	38835.7	48261.8
490	804.897	5354.21	0	3977.44	38612.6	47944.3
491	724.407	5357.4	0	3973.1	38612.6	47943.1
492	724.407	5342.19	0	3971.04	38612.6	47925.9
493	724.407	5316.89	0	3942.64	38612.6	47872.2
494	724.407	5308	0	3945.95	38612.6	47866.6
495	724.407	5290.38	0	3927.24	38391.2	47608.8
496	724.407	5314.31	0	3933.08	38391.2	47638.6
497	724.407	5312.35	0	3927.75	38391.2	47631.3
498	724.407	5304.23	0	3928.46	38391.2	47623.9
499	724.407	5297.86	0	3938.11	38612.6	47848.6
